# cid2code.txt (Version 03/29/2001)
#
# The data in this table contains 16 tab-delimited columns of
# information. The contents of this file supplement Technical Note 
# #5080 "Adobe-CNS1-3 Character Collection for CID-Keyed Fonts":
#
# http://partners.adobe.com/asn/developer/technotes.html
#
# This table contains lists CIDs 0 through 18845 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded value.
# Here are some common aspects of the data that you will find in this
# table:
#
# o All character codes are provided in hexadecimal notation.
#
# o Many of the CMap files indicated at the head of each column have
#   both "-H" (horizontal writing mode) and "-V" (vertical writing
#   mode) versions. Those with only a "-H" version are explicitly
#   shown with the "-H" appended. Those with both do not have a
#   writing mode suffix.
#
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap file are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap file. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 through 16, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "B5-H" and "B5-V" CMaps (Big
#   Five character set, Big Five encoding, half-width Latin
#   characters).
#
# o Column 3: Character codes for the "B5pc-H" and "B5pc-V" CMaps
#   (MacOS-T character set, Big Five encoding, proportional Latin
#   characters).
#
# o Column 4: Character codes for the "ETen-B5-H" and "ETen-B5-V"
#   CMaps (Big Five character set with ETen extensions, Big Five
#   encoding, half-width Latin characters).
#
# o Column 5: Character codes for the "CNS1-H" and "CNS1-V" CMaps
#   (CNS 11643-1992 character set, Plane 1, ISO-2022-CN encoding).
#
# o Column 6: Character codes for the "CNS2-H" and "CNS2-V" CMaps
#   (CNS 11643-1992 character set, Plane 2, ISO-2022-CN encoding).
#
# o Column 7: Character codes for the "CNS-EUC-H" and "CNS-EUC-V"
#   CMaps (CNS 11643-1992 character set, Planes 1 and 2, EUC-TW
#   encoding, half-width Latin characters).
#
# o Column 8: Character codes for the "UniCNS-UCS2-H" and
#   "UniCNS-UCS2-V" CMaps (Unicode UCS-2/UTF-16 encoding, proportional
#   Latin characters).
#
# o Column 9: Character codes for the "UniCNS-UTF8-H" and
#   "UniCNS-UTF8-V" CMaps (Unicode UTF-8 encoding, proportional Latin
#   characters).
#
# o Column 10: Character codes for the "ETHK-B5-H" and "ETHK-B5-V"
#   CMaps (Big Five character set with the ETen and Hong Kong SCS
#   extensions, Big Five encoding, proportional Latin characters).
#
# o Column 11: Character codes for the "HKdla-B5-H" and "HKdla-B5-V"
#   CMaps (Big Five character set with Dynalab's Hong Kong Extension
#   A with 784 Hong Kong hanzi, Big Five encoding, proportional Latin
#   characters).
#
# o Column 12: Character codes for the "HKdlb-B5-H" and "HKdlb-B5-V"
#   CMaps (Big Five character set with Dynalab's Hong Kong Extension
#   B with 665 Hong Kong hanzi, Big Five encoding, proportional Latin
#   characters).
#
# o Column 13: Character codes for the "HKgccs-B5-H" and "HKgccs-B5-V"
#   CMaps (Big Five character set with Hong Kong's GCCS extension, Big
#   Five encoding, proportional Latin characters).
#
# o Column 14: Character codes for the "HKm314-B5-H" and "HKm314-B5-V"
#   CMaps (Big Five character set with Monotype's Hong Kong extension
#   containing 314 Hong Kong hanzi, Big Five encoding, proportional
#   Latin characters).
#
# o Column 15: Character codes for the "HKm471-B5-H" and "HKm471-B5-V"
#   CMaps (Big Five character set with Monotype's Hong Kong extension
#   containing 471 Hong Kong hanzi, Big Five encoding, proportional
#   Latin characters).
#
# o Column 16: Character codes for the "HKscs-B5-H" and "HKscs-B5-V"
#   CMaps (Big Five character set with Hong Kong's SCS extension,
#   Big Five encoding, proportional Latin characters).
#
CID	B5	B5pc	ETen-B5	CNS1	CNS2	CNS-EUC	UniCNS-UCS2	UniCNS-UTF8	ETHK-B5	HKdla-B5	HKdlb-B5	HKgccs-B5	HKm314-B5	HKm471-B5	HKscs-B5
0	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
1	*	20	*	*	*	*	0020	20	20	20	20	20	20	20	20
2	*	21	*	*	*	*	0021	21	21	21	21	21	21	21	21
3	*	22	*	*	*	*	0022	22	22	22	22	22	22	22	22
4	*	23	*	*	*	*	0023	23	23	23	23	23	23	23	23
5	*	24	*	*	*	*	0024	24	24	24	24	24	24	24	24
6	*	25	*	*	*	*	0025	25	25	25	25	25	25	25	25
7	*	26	*	*	*	*	0026	26	26	26	26	26	26	26	26
8	*	27	*	*	*	*	0027	27	27	27	27	27	27	27	27
9	*	28	*	*	*	*	0028	28	28	28	28	28	28	28	28
10	*	29	*	*	*	*	0029	29	29	29	29	29	29	29	29
11	*	2a	*	*	*	*	002a	2a	2a	2a	2a	2a	2a	2a	2a
12	*	2b	*	*	*	*	002b	2b	2b	2b	2b	2b	2b	2b	2b
13	*	2c	*	*	*	*	002c	2c	2c	2c	2c	2c	2c	2c	2c
14	*	2d	*	*	*	*	002d	2d	2d	2d	2d	2d	2d	2d	2d
15	*	2e	*	*	*	*	002e	2e	2e	2e	2e	2e	2e	2e	2e
16	*	2f	*	*	*	*	002f	2f	2f	2f	2f	2f	2f	2f	2f
17	*	30	*	*	*	*	0030	30	30	30	30	30	30	30	30
18	*	31	*	*	*	*	0031	31	31	31	31	31	31	31	31
19	*	32	*	*	*	*	0032	32	32	32	32	32	32	32	32
20	*	33	*	*	*	*	0033	33	33	33	33	33	33	33	33
21	*	34	*	*	*	*	0034	34	34	34	34	34	34	34	34
22	*	35	*	*	*	*	0035	35	35	35	35	35	35	35	35
23	*	36	*	*	*	*	0036	36	36	36	36	36	36	36	36
24	*	37	*	*	*	*	0037	37	37	37	37	37	37	37	37
25	*	38	*	*	*	*	0038	38	38	38	38	38	38	38	38
26	*	39	*	*	*	*	0039	39	39	39	39	39	39	39	39
27	*	3a	*	*	*	*	003a	3a	3a	3a	3a	3a	3a	3a	3a
28	*	3b	*	*	*	*	003b	3b	3b	3b	3b	3b	3b	3b	3b
29	*	3c	*	*	*	*	003c	3c	3c	3c	3c	3c	3c	3c	3c
30	*	3d	*	*	*	*	003d	3d	3d	3d	3d	3d	3d	3d	3d
31	*	3e	*	*	*	*	003e	3e	3e	3e	3e	3e	3e	3e	3e
32	*	3f	*	*	*	*	003f	3f	3f	3f	3f	3f	3f	3f	3f
33	*	40	*	*	*	*	0040	40	40	40	40	40	40	40	40
34	*	41	*	*	*	*	0041	41	41	41	41	41	41	41	41
35	*	42	*	*	*	*	0042	42	42	42	42	42	42	42	42
36	*	43	*	*	*	*	0043	43	43	43	43	43	43	43	43
37	*	44	*	*	*	*	0044	44	44	44	44	44	44	44	44
38	*	45	*	*	*	*	0045	45	45	45	45	45	45	45	45
39	*	46	*	*	*	*	0046	46	46	46	46	46	46	46	46
40	*	47	*	*	*	*	0047	47	47	47	47	47	47	47	47
41	*	48	*	*	*	*	0048	48	48	48	48	48	48	48	48
42	*	49	*	*	*	*	0049	49	49	49	49	49	49	49	49
43	*	4a	*	*	*	*	004a	4a	4a	4a	4a	4a	4a	4a	4a
44	*	4b	*	*	*	*	004b	4b	4b	4b	4b	4b	4b	4b	4b
45	*	4c	*	*	*	*	004c	4c	4c	4c	4c	4c	4c	4c	4c
46	*	4d	*	*	*	*	004d	4d	4d	4d	4d	4d	4d	4d	4d
47	*	4e	*	*	*	*	004e	4e	4e	4e	4e	4e	4e	4e	4e
48	*	4f	*	*	*	*	004f	4f	4f	4f	4f	4f	4f	4f	4f
49	*	50	*	*	*	*	0050	50	50	50	50	50	50	50	50
50	*	51	*	*	*	*	0051	51	51	51	51	51	51	51	51
51	*	52	*	*	*	*	0052	52	52	52	52	52	52	52	52
52	*	53	*	*	*	*	0053	53	53	53	53	53	53	53	53
