# cid2code.txt (Version 03/29/2001)
#
# The data in this table contains 12 tab-delimited columns of
# information. The contents of this file supplement Technical Note
# #5079 "Adobe-GB1-4 Character Collection for CID-Keyed Fonts":
#
#  http://partners.adobe.com/asn/developer/technotes.html
#
# This table contains lists CIDs 0 through 29063 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded value.
# Here are some common aspects of the data that you will find in this
# table:
#
# o All character codes are provided in hexadecimal notation.
#
# o Many of the CMap files indicated at the head of each column have
#   both "-H" (horizontal writing mode) and "-V" (vertical writing
#   mode) versions. Those with only a "-H" version are explicitly
#   shown with the "-H" appended. Those with both do not have a
#   writing mode suffix.
#
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap file are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap file. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 through 12, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "GB-H" and "GB-V" CMaps (GB
#   2312-80 character set, ISO-2022-CN encoding).
#
# o Column 3: Character codes for the "GB-EUC-H" and "GB-EUC-V" CMaps
#   (GB 2312-80 character set, EUC-CN encoding, half-width Latin
#   characters).
#
# o Column 4: Character codes for the "GBpc-EUC-H" and "GBpc-EUC-V"
#   CMaps (MacOS-S character set, EUC-CN encoding, proportional Latin
#   characters).
#
# o Column 5: Character codes for the "GBT-H" and "GBT-V" CMaps (GB/T
#   12345-90 character set, ISO-2022-CN encoding).
#
# o Column 6: Character codes for the "GBT-EUC-H" and "GBT-EUC-V"
#   CMaps (GB/T 12345-90 character set, EUC-CN encoding, half-width
#   Latin characters).
#
# o Column 7: Character codes for the "GBTpc-EUC-H" and "GBTpc-EUC-V"
#   CMaps (GB/T 12345-90 character set for MacOS-S, EUC-CN encoding,
#   proportional Latin characters).
#
# o Column 8: Character codes for the "GBK-EUC-H" and "GBK-EUC-V"
#   CMaps (GBK character set used on Windows 95 for PRC Chinese,
#   GBK encoding, half-width Latin characters).
#
# o Column 9: Character codes for the "GBKp-EUC-H" and "GBKp-EUC-V"
#   CMaps (GBK character set used on Windows 95 for PRC Chinese,
#   GBK encoding, proportional Latin characters).
#
# o Column 10: Character codes for the "GBK2K-H" and "GBK2K-V"
#   CMaps (GB 18030-2000 character set, the mixed one-, two-, and
#   four-byte encoding defined in GB 18030-2000, proportional Latin
#   characters).
#
# o Column 11: Character codes for the "UniGB-UCS2-H" and "UniGB-UCS2-V"
#   CMaps (Unicode UCS-2/UTF-16 encoding, proportional Latin characters).
#
# o Column 12: Character codes for the "UniGB-UTF8-H" and "UniGB-UTF8-V"
#   CMaps (Unicode UTF-8 encoding, proportional Latin characters).
#
CID	GB	GB-EUC	GBpc-EUC	GBT	GBT-EUC	GBTpc-EUC	GBK-EUC	GBKp-EUC	GBK2K	UniGB-UCS2	UniGB-UTF8
0	*	*	*	*	*	*	*	*	*	*	*
1	*	*	20	*	*	20	*	20	20	0020	20
2	*	*	21	*	*	21	*	21	21	0021	21
3	*	*	22	*	*	22	*	22	22	0022	22
4	*	*	23	*	*	23	*	23	23	0023	23
5	*	*	24	*	*	24	*	24	24	0024	24
6	*	*	25	*	*	25	*	25	25	0025	25
7	*	*	26	*	*	26	*	26	26	0026	26
8	*	*	27	*	*	27	*	27	27	0027	27
9	*	*	28	*	*	28	*	28	28	0028	28
10	*	*	29	*	*	29	*	29	29	0029	29
11	*	*	2a	*	*	2a	*	2a	2a	002a	2a
12	*	*	2b	*	*	2b	*	2b	2b	002b	2b
13	*	*	2c	*	*	2c	*	2c	2c	002c	2c
14	*	*	2d	*	*	2d	*	2d	2d	002d	2d
15	*	*	2e	*	*	2e	*	2e	2e	002e	2e
16	*	*	2f	*	*	2f	*	2f	2f	002f	2f
17	*	*	30	*	*	30	*	30	30	0030	30
18	*	*	31	*	*	31	*	31	31	0031	31
19	*	*	32	*	*	32	*	32	32	0032	32
20	*	*	33	*	*	33	*	33	33	0033	33
21	*	*	34	*	*	34	*	34	34	0034	34
22	*	*	35	*	*	35	*	35	35	0035	35
23	*	*	36	*	*	36	*	36	36	0036	36
24	*	*	37	*	*	37	*	37	37	0037	37
25	*	*	38	*	*	38	*	38	38	0038	38
26	*	*	39	*	*	39	*	39	39	0039	39
27	*	*	3a	*	*	3a	*	3a	3a	003a	3a
28	*	*	3b	*	*	3b	*	3b	3b	003b	3b
29	*	*	3c	*	*	3c	*	3c	3c	003c	3c
30	*	*	3d	*	*	3d	*	3d	3d	003d	3d
31	*	*	3e	*	*	3e	*	3e	3e	003e	3e
32	*	*	3f	*	*	3f	*	3f	3f	003f	3f
33	*	*	40	*	*	40	*	40	40	0040	40
34	*	*	41	*	*	41	*	41	41	0041	41
35	*	*	42	*	*	42	*	42	42	0042	42
36	*	*	43	*	*	43	*	43	43	0043	43
37	*	*	44	*	*	44	*	44	44	0044	44
38	*	*	45	*	*	45	*	45	45	0045	45
39	*	*	46	*	*	46	*	46	46	0046	46
40	*	*	47	*	*	47	*	47	47	0047	47
41	*	*	48	*	*	48	*	48	48	0048	48
42	*	*	49	*	*	49	*	49	49	0049	49
43	*	*	4a	*	*	4a	*	4a	4a	004a	4a
44	*	*	4b	*	*	4b	*	4b	4b	004b	4b
45	*	*	4c	*	*	4c	*	4c	4c	004c	4c
46	*	*	4d	*	*	4d	*	4d	4d	004d	4d
47	*	*	4e	*	*	4e	*	4e	4e	004e	4e
48	*	*	4f	*	*	4f	*	4f	4f	004f	4f
49	*	*	50	*	*	50	*	50	50	0050	50
50	*	*	51	*	*	51	*	51	51	0051	51
51	*	*	52	*	*	52	*	52	52	0052	52
52	*	*	53	*	*	53	*	53	53	0053	53
53	*	*	54	*	*	54	*	54	54	0054	54
54	*	*	55	*	*	55	*	55	55	0055	55
