# cid2code.txt (Version 05/10/2001)
#
# The data in this table contains 25 tab-delimited columns of
# information. The contents of this file supplement Technical Note
# #5078 "Adobe-Japan1-4 Character Collection for CID-Keyed Fonts":
#
# http://partners.adobe.com/asn/developer/technotes.html
#
# This table contains lists CIDs 0 through 15443 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded
# value. Here are some common aspects of the data that you will find
# in this table:
#
# o All character codes are provided in hexadecimal notation.
#
# o Many of the CMap files indicated at the head of each column have
#   both "-H" (horizontal writing mode) and "-V" (vertical writing
#   mode) versions. Those with only a "-H" version are explicitly
#   shown with the "-H" appended. Those with both do not have a
#   writing mode suffix.
#
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap file are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap file. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 through 25, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "H" and "V" CMaps (JIS X
#   0208:1997 character set, ISO-2022-JP encoding).
#
# o Column 3: Character codes for the "RKSJ-H" and "RKSJ-V" CMaps (JIS
#   X 0208:1997 character set, Shift-JIS encoding, half-width Latin
#   characters).
#
# o Column 4: Character codes for the "EUC-H" and "EUC-V" CMaps (JIS
#   X 0208:1997 character set, EUC-JP encoding, half-width Latin
#   characters).
#
# o Column 5: Character codes for the "83pv-RKSJ-H" CMap (KanjiTalk
#   Version 6 character set, Shift-JIS encoding, proportional Latin
#   characters).
#
# o Column 6: Character codes for the "Add-H" and "Add-V" CMaps
#   (Fujitsu character set, ISO-2022-JP encoding, half-width Latin
#   characters).
#
# o Column 7: Character codes for the "Add-RKSJ-H" and "Add-RKSJ-V"
#   CMaps (Fujitsu character set, Shift-JIS encoding, half-width Latin
#   characters).
#
# o Column 8: Character codes for the "Ext-H" and "Ext-V" CMaps (NEC
#   character set, ISO-2022-JP encoding, half-width Latin characters).
#
# o Column 9: Character codes for the "Ext-RKSJ-H" and "Ext-RKSJ-V"
#   CMaps (NEC character set, Shift-JIS encoding, half-width Latin
#   characters).
#
# o Column 10: Character codes for the "NWP-H" and "NWP-V" CMaps (NEC
#   Bungo character set, ISO-2022-JP encoding).
#
# o Column 11: Character codes for the "90pv-RKSJ-H" and "90pv-RKSJ-V"
#   CMap (KanjiTalk Version 7 character set, Shift-JIS encoding,
#   proportional Latin characters).
#
# o Column 12: Character codes for the "90ms-RKSJ-H" and "90ms-RKSJ-V"
#   CMaps (Microsoft Windows 3.1J & 95J character set, Shift-JIS
#   encoding, half-width Latin characters).
#
# o Column 13: Character codes for the "90msp-RKSJ-H" and "90msp-RKSJ-V"
#   CMaps (Microsoft Windows 3.1J & 95J character set, Shift-JIS
#   encoding, proportional Latin characters).
#
# o Column 14: Character codes for the "78-H" and "78-V" CMaps (JIS C
#   6226-1978 character set, ISO-2022-JP encoding, half-width Latin
#   characters).
#
# o Column 15: Character codes for the "78-RKSJ-H" and "78-RKSJ-V"
#   CMaps (JIS C 6226-1978 character set, Shift-JIS encoding,
#   half-width Latin characters).
#
# o Column 16: Character codes for the "78ms-RKSJ-H" and "78ms-RKSJ-V"
#   CMaps (Microsoft Windows 3.1J & 95J character set, JIS C 6226-1978
#   glyphs, Shift-JIS encoding, half-width Latin characters).
#
# o Column 17: Character codes for the "78-EUC-H" and "78-EUC-V" CMaps
#   (JIS C 6226-1978 character set, EUC-JP encoding, half-width Latin
#   characters).
#
# o Column 18: Character codes for the "UniJIS-UCS2-H" and
#   "UniJIS-UCS2-V" CMaps (Unicode UCS-2/UTF-16 encoding, proportional
#   Latin characters).
#
# o Column 19: Character codes for the "UniJIS-UCS2-HW-H" and
#   "UniJIS-UCS2-HW-V" CMaps (Unicode UCS-2/UTF-16 encoding,
#   half-width Latin characters).
#
# o Column 20: Character codes for the "UniJIS-UTF8-H" and
#   "UniJIS-UTF8-V" CMaps (Unicode UTF-8 encoding, proportional Latin
#   characters).
#
# o Columns 21-25: The CMap files for these five columns specify one-
#   byte encodings only: Hiragana, Katakana, Hankaku, Roman, and WP-
#   Symbol.
#
# NOTE: The three new "Pro" CMap files differ from their non-Pro
#       counterparts as follows:
#
#                    UniJISPro-UCS2-V  UniJIS-UCS2-V
#       U+2018       12173             8281
#       U+2019       12174             8282
#       U+201C        7956             8279
#       U+201D        7957             8280
#       U+337B       12044              n/a
#       U+337C       12043              n/a
#       U+337D       12042              n/a
#       U+337E       12041              n/a
#       U+FF1A       12101              n/a
#
#       The UniJISPro-UCS2-HW-V and UniJIS-UCS2-HW-V CMap files share
#       the same differences.
#
#                    UniJISPro-UTF8-V  UniJIS-UTF8-V
#       0xE28098     12173             8281
#       0xE28099     12174             8282
#       0xE2809C      7956             8279
#       0xE2809D      7957             8280
#       0xE38DBB     12044              n/a
#       0xE38DBC     12043              n/a
#       0xE38DBD     12042              n/a
#       0xE38DBE     12041              n/a
#       0xEFBC9A     12101              n/a
#
CID	H	RKSJ	EUC	83pv-RKSJ	Add	Add-RKSJ	Ext	Ext-RKSJ	NWP	90pv-RKSJ	90ms-RKSJ	90msp-RKSJ	78	78-RKSJ	78ms-RKSJ	78-EUC	UniJIS-UCS2	UniJIS-UCS2-HW	UniJIS-UTF8	Hiragana	Katakana	Hankaku	Roman	WP-Symbol
0	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
1	*	*	*	20	*	*	*	*	*	20	*	20	*	*	*	*	0020	*	20	*	*	*	*	*
2	*	*	*	21	*	*	*	*	*	21	*	21	*	*	*	*	0021	*	21	*	*	*	*	*
3	*	*	*	22	*	*	*	*	*	22	*	22	*	*	*	*	0022	*	22	*	*	*	*	*
4	*	*	*	23	*	*	*	*	*	23	*	23	*	*	*	*	0023	*	23	*	*	*	*	*
5	*	*	*	24	*	*	*	*	*	24	*	24	*	*	*	*	0024	*	24	*	*	*	*	*
6	*	*	*	25	*	*	*	*	*	25	*	25	*	*	*	*	0025	*	25	*	*	*	*	*
7	*	*	*	26	*	*	*	*	*	26	*	26	*	*	*	*	0026	*	26	*	*	*	*	*
8	*	*	*	27	*	*	*	*	*	27	*	27	*	*	*	*	0027	*	27	*	*	*	*	*
9	*	*	*	28	*	*	*	*	*	28	*	28	*	*	*	*	0028	*	28	*	*	*	*	*
10	*	*	*	29	*	*	*	*	*	29	*	29	*	*	*	*	0029	*	29	*	*	*	*	*
11	*	*	*	2a	*	*	*	*	*	2a	*	2a	*	*	*	*	002a	*	2a	*	*	*	*	*
12	*	*	*	2b	*	*	*	*	*	2b	*	2b	*	*	*	*	002b	*	2b	*	*	*	*	*
13	*	*	*	2c	*	*	*	*	*	2c	*	2c	*	*	*	*	002c	*	2c	*	*	*	*	*
14	*	*	*	2d	*	*	*	*	*	2d	*	2d	*	*	*	*	002d,2011	*	2d,e28091	*	*	*	*	*
15	*	*	*	2e	*	*	*	*	*	2e	*	2e	*	*	*	*	002e	*	2e	*	*	*	*	*
16	*	*	*	2f	*	*	*	*	*	2f	*	2f	*	*	*	*	002f	*	2f	*	*	*	*	*
17	*	*	*	30	*	*	*	*	*	30	*	30	*	*	*	*	0030	*	30	*	*	*	*	*
18	*	*	*	31	*	*	*	*	*	31	*	31	*	*	*	*	0031	*	31	*	*	*	*	*
19	*	*	*	32	*	*	*	*	*	32	*	32	*	*	*	*	0032	*	32	*	*	*	*	*
20	*	*	*	33	*	*	*	*	*	33	*	33	*	*	*	*	0033	*	33	*	*	*	*	*
21	*	*	*	34	*	*	*	*	*	34	*	34	*	*	*	*	0034	*	34	*	*	*	*	*
22	*	*	*	35	*	*	*	*	*	35	*	35	*	*	*	*	0035	*	35	*	*	*	*	*
23	*	*	*	36	*	*	*	*	*	36	*	36	*	*	*	*	0036	*	36	*	*	*	*	*
24	*	*	*	37	*	*	*	*	*	37	*	37	*	*	*	*	0037	*	37	*	*	*	*	*
25	*	*	*	38	*	*	*	*	*	38	*	38	*	*	*	*	0038	*	38	*	*	*	*	*
26	*	*	*	39	*	*	*	*	*	39	*	39	*	*	*	*	0039	*	39	*	*	*	*	*
27	*	*	*	3a	*	*	*	*	*	3a	*	3a	*	*	*	*	003a	*	3a	*	*	*	*	*
28	*	*	*	3b	*	*	*	*	*	3b	*	3b	*	*	*	*	003b	*	3b	*	*	*	*	*
29	*	*	*	3c	*	*	*	*	*	3c	*	3c	*	*	*	*	003c	*	3c	*	*	*	*	*
30	*	*	*	3d	*	*	*	*	*	3d	*	3d	*	*	*	*	003d	*	3d	*	*	*	*	*
31	*	*	*	3e	*	*	*	*	*	3e	*	3e	*	*	*	*	003e	*	3e	*	*	*	*	*
32	*	*	*	3f	*	*	*	*	*	3f	*	3f	*	*	*	*	003f	*	3f	*	*	*	*	*
33	*	*	*	40	*	*	*	*	*	40	*	40	*	*	*	*	0040	*	40	*	*	*	*	*
34	*	*	*	41	*	*	*	*	*	41	*	41	*	*	*	*	0041	*	41	*	*	*	*	*
35	*	*	*	42	*	*	*	*	*	42	*	42	*	*	*	*	0042	*	42	*	*	*	*	*
36	*	*	*	43	*	*	*	*	*	43	*	43	*	*	*	*	0043	*	43	*	*	*	*	*
37	*	*	*	44	*	*	*	*	*	44	*	44	*	*	*	*	0044	*	44	*	*	*	*	*
38	*	*	*	45	*	*	*	*	*	45	*	45	*	*	*	*	0045	*	45	*	*	*	*	*
39	*	*	*	46	*	*	*	*	*	46	*	46	*	*	*	*	0046	*	46	*	*	*	*	*
40	*	*	*	47	*	*	*	*	*	47	*	47	*	*	*	*	0047	*	47	*	*	*	*	*
41	*	*	*	48	*	*	*	*	*	48	*	48	*	*	*	*	0048	*	48	*	*	*	*	*
42	*	*	*	49	*	*	*	*	*	49	*	49	*	*	*	*	0049	*	49	*	*	*	*	*
43	*	*	*	4a	*	*	*	*	*	4a	*	4a	*	*	*	*	004a	*	4a	*	*	*	*	*
44	*	*	*	4b	*	*	*	*	*	4b	*	4b	*	*	*	*	004b	*	4b	*	*	*	*	*
45	*	*	*	4c	*	*	*	*	*	4c	*	4c	*	*	*	*	004c	*	4c	*	*	*	*	*
46	*	*	*	4d	*	*	*	*	*	4d	*	4d	*	*	*	*	004d	*	4d	*	*	*	*	*
47	*	*	*	4e	*	*	*	*	*	4e	*	4e	*	*	*	*	004e	*	4e	*	*	*	*	*
48	*	*	*	4f	*	*	*	*	*	4f	*	4f	*	*	*	*	004f	*	4f	*	*	*	*	*
49	*	*	*	50	*	*	*	*	*	50	*	50	*	*	*	*	0050	*	50	*	*	*	*	*
50	*	*	*	51	*	*	*	*	*	51	*	51	*	*	*	*	0051	*	51	*	*	*	*	*
